,tpr,tnr,rate,test_set,val_set,Tree,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc
36,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 2797.4533333333334}","{0: 722.44, 1: 722.44}","{0: 0.30612244897959184, 1: 0.09866666666666667}","{0: 0.6867666666666666, 1: 0.6867666666666666}","{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
37,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 1955.0}","{0: 733.37, 1: 733.37}","{0: 0.30612244897959184, 1: 0.0}","{0: 0.677, 1: 0.677}","{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
38,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2983.1421867835006, 1: 2273.924980107596}","{0: 733.37, 1: 1144.1}","{0: 0.570330798392772, 1: 0.5639008182706562}","{0: 0.6888333333333334, 1: 0.6888333333333334}","{0: 0.336, 1: 0.336}","{0: 1.0, 1: 1.0}","{0: 0.5551130886169818, 1: 0.6000466666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
39,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510203, 1: 2102.089836957355}","{0: 722.44, 1: 1113.0}","{0: 0.5040816326530613, 1: 0.4836908790215927}","{0: 0.6866, 1: 0.6866}","{0: 0.329, 1: 0.329}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666667, 1: 0.7003333333333334}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
40,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3697.9674371750925, 1: 1906.2415285833333}","{0: 744.3, 1: 1144.47}","{0: 0.4395302036276134, 1: 0.31667676146496815}","{0: 0.6861666666666666, 1: 0.6861666666666666}","{0: 0.328, 1: 0.328}","{0: 1.0, 1: 1.0}","{0: 0.7753615127919912, 1: 0.79805}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
41,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 1906.9038688818825}","{0: 727.905, 1: 1522.78}","{0: 0.7020408163265307, 1: 0.6686906143803671}","{0: 0.6837, 1: 0.6837}","{0: 0.656, 1: 0.656}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.4006666666666666}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
42,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3013.2750536877707, 1: 2062.923852295604}","{0: 716.975, 1: 1574.63}","{0: 0.5648170075594198, 1: 0.5248668657613786}","{0: 0.6853666666666667, 1: 0.6853666666666667}","{0: 0.687, 1: 0.687}","{0: 1.0, 1: 1.0}","{0: 0.5643974786800148, 1: 0.6083933333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
43,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3684.0442235136547, 1: 1841.3741393333335}","{0: 738.835, 1: 1559.345}","{0: 0.44207790969558014, 1: 0.36840866666666666}","{0: 0.6839, 1: 0.6839}","{0: 0.663, 1: 0.663}","{0: 1.0, 1: 1.0}","{0: 0.7710715609936967, 1: 0.7941933333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
44,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 744.3, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.6826666666666666, 1: 0.6826666666666666}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.101}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
45,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 2643.048971991382}","{0: 722.44, 1: 1955.0}","{0: 0.7020408163265307, 1: 0.574937671283472}","{0: 0.6792666666666667, 1: 0.6792666666666667}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333332, 1: 0.40066666666666656}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
46,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510203, 1: 2673.760876162506}","{0: 749.765, 1: 1955.0}","{0: 0.5040816326530613, 1: 0.42269561135584927}","{0: 0.6841999999999999, 1: 0.6841999999999999}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.7003333333333333}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
47,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 1955.0}","{0: 700.58, 1: 1955.0}","{0: 0.30612244897959184, 1: 0.293}","{0: 0.6845666666666667, 1: 0.6845666666666667}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
48,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2147.792124422295, 1: 1716.4371646146021}","{0: 635.0, 1: 1074.56}","{0: 0.7231853386235507, 1: 0.36027210384021485}","{0: 0.8709333333333334, 1: 0.8709333333333334}","{0: 0.333, 1: 0.333}","{0: 0.0, 1: 0.0}","{0: 0.8875676677790136, 1: 0.7979233333333333}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
49,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2270.196850393701, 1: 1955.0}","{0: 635.0, 1: 635.0}","{0: 0.7007874015748031, 1: 0.0}","{0: 0.8708666666666667, 1: 0.8708666666666667}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 1.0, 1: 0.899}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
50,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1668.1600058828853, 1: 1235.7810130098646}","{0: 635.0, 1: 1512.8}","{0: 0.8109496787039551, 1: 0.8083070432325353}","{0: 0.8682666666666666, 1: 0.8682666666666666}","{0: 0.665, 1: 0.665}","{0: 0.0, 1: 0.0}","{0: 0.44701149425287356, 1: 0.40186333333333335}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
51,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1907.2979002624675, 1: 1450.3802727718162}","{0: 635.0, 1: 1064.0}","{0: 0.7671916010498687, 1: 0.7594857895391821}","{0: 0.8702666666666666, 1: 0.8702666666666666}","{0: 0.325, 1: 0.325}","{0: 0.0, 1: 0.0}","{0: 0.6666666666666667, 1: 0.5993333333333334}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
52,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1907.2979002624672, 1: 1845.8557288888892}","{0: 635.0, 1: 635.0}","{0: 0.7671916010498687, 1: 0.5512249661835749}","{0: 0.8706666666666667, 1: 0.8706666666666667}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.6666666666666667, 1: 0.5993333333333334}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
53,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1544.3989501312337, 1: 1274.5068454285602}","{0: 635.0, 1: 1499.6}","{0: 0.8335958005249345, 1: 0.8324272464735796}","{0: 0.8708333333333333, 1: 0.8708333333333333}","{0: 0.655, 1: 0.655}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333333, 1: 0.29966666666666664}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
54,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1658.6535873338414, 1: 1253.1919480982663}","{0: 635.0, 1: 1062.68}","{0: 0.8126891880450428, 1: 0.8448001870526454}","{0: 0.8692333333333333, 1: 0.8692333333333333}","{0: 0.324, 1: 0.324}","{0: 0.0, 1: 0.0}","{0: 0.4382795698924732, 1: 0.3940133333333334}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
55,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1544.3989501312337, 1: 1593.8614444444445}","{0: 635.0, 1: 635.0}","{0: 0.8335958005249343, 1: 0.6225782542113324}","{0: 0.8716, 1: 0.8716}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333334, 1: 0.29966666666666675}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
56,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 635.0, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.8733000000000001, 1: 0.8733000000000001}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
57,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1427.512387283625, 1: 1873.6031539393941}","{0: 635.0, 1: 1533.92}","{0: 0.8549840096461803, 1: 0.768788863030303}","{0: 0.8706333333333334, 1: 0.8706333333333334}","{0: 0.681, 1: 0.681}","{0: 0.0, 1: 0.0}","{0: 0.22596959584723758, 1: 0.2031466666666666}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
58,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1405.2621201743552, 1: 1559.134374234145}","{0: 635.0, 1: 1049.48}","{0: 0.8590554217430274, 1: 0.8248065184566981}","{0: 0.8713666666666666, 1: 0.8713666666666666}","{0: 0.314, 1: 0.314}","{0: 0.0, 1: 0.0}","{0: 0.20553207267334075, 1: 0.18477333333333334}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
59,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 1110.455}","{0: 635.0, 1: 635.0}","{0: 0.9, 1: 0.913}","{0: 0.8690333333333334, 1: 0.8690333333333334}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
60,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2185.095230074828, 1: 1786.0044263460456}","{0: 662.325, 1: 975.165}","{0: 0.716359518742026, 1: 0.32587342837656097}","{0: 0.8080666666666667, 1: 0.8080666666666667}","{0: 0.237, 1: 0.237}","{0: 0.327, 1: 0.327}","{0: 0.9218316648127549, 1: 0.8623933333333333}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
61,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2270.196850393701, 1: 1955.0}","{0: 651.395, 1: 651.395}","{0: 0.7007874015748031, 1: 0.0}","{0: 0.8142333333333334, 1: 0.8142333333333334}","{0: 0.0, 1: 0.0}","{0: 0.312, 1: 0.312}","{0: 1.0, 1: 0.9326666666666666}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
62,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1707.7519180395832, 1: 1271.5160288000889}","{0: 656.86, 1: 1370.795}","{0: 0.8037050470192895, 1: 0.8171166195650108}","{0: 0.8051333333333334, 1: 0.8051333333333334}","{0: 0.545, 1: 0.545}","{0: 0.345, 1: 0.345}","{0: 0.48337782721542455, 1: 0.4682233333333334}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
63,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1907.2979002624675, 1: 1514.6765020154687}","{0: 662.325, 1: 1103.02}","{0: 0.7671916010498687, 1: 0.7851500721840016}","{0: 0.8036333333333333, 1: 0.8036333333333333}","{0: 0.338, 1: 0.338}","{0: 0.327, 1: 0.327}","{0: 0.6666666666666667, 1: 0.633}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
64,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1950.6076092275175, 1: 1881.6642020000002}","{0: 662.325, 1: 805.835}","{0: 0.7592666771770326, 1: 0.5682047555555556}","{0: 0.8042, 1: 0.8042}","{0: 0.117, 1: 0.117}","{0: 0.335, 1: 0.335}","{0: 0.7064479050797182, 1: 0.6687633333333335}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
65,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1544.3989501312337, 1: 1277.2146571515502}","{0: 640.465, 1: 1512.985}","{0: 0.8335958005249345, 1: 0.8353891570754753}","{0: 0.8111, 1: 0.8111}","{0: 0.661, 1: 0.661}","{0: 0.343, 1: 0.343}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
66,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1701.2124708848266, 1: 1477.3345562116626}","{0: 651.395, 1: 1207.88}","{0: 0.8049016521711204, 1: 0.8060858682778548}","{0: 0.8070666666666667, 1: 0.8070666666666667}","{0: 0.434, 1: 0.434}","{0: 0.332, 1: 0.332}","{0: 0.4773711531331109, 1: 0.4628233333333333}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
67,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1694.3864183300782, 1: 1653.3351087555554}","{0: 673.255, 1: 928.595}","{0: 0.8061507011289885, 1: 0.6664697675900557}","{0: 0.8095333333333333, 1: 0.8095333333333333}","{0: 0.21, 1: 0.21}","{0: 0.33, 1: 0.33}","{0: 0.47110122358175754, 1: 0.45718666666666674}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
68,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 678.72, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.8009, 1: 0.8009}","{0: 1.0, 1: 1.0}","{0: 0.343, 1: 0.343}","{0: 0.0, 1: 0.033666666666666664}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
69,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1452.2613690773358, 1: 2154.700939306358}","{0: 645.93, 1: 1617.08}","{0: 0.8504553761981087, 1: 0.7187944479768786}","{0: 0.8160333333333333, 1: 0.8160333333333333}","{0: 0.744, 1: 0.744}","{0: 0.303, 1: 0.303}","{0: 0.24870226177233956, 1: 0.2572499999999999}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
70,"{0: 1.0, 1: 1.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1581.2862761189888, 1: 2032.2739357929138}","{0: 662.325, 1: 1359.68}","{0: 0.826846061094421, 1: 0.733054552377021}","{0: 0.8091333333333334, 1: 0.8091333333333334}","{0: 0.549, 1: 0.549}","{0: 0.331, 1: 0.331}","{0: 0.36721542454579154, 1: 0.3637933333333333}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
71,"{0: 1.0, 1: 1.0}","{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EndoCV2020', 1: 'EndoCV2020'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1522.0840958895712, 1: 1421.3362716}","{0: 651.395, 1: 1046.84}","{0: 0.8376790309442688, 1: 0.8364441333333333}","{0: 0.8127333333333333, 1: 0.8127333333333333}","{0: 0.312, 1: 0.312}","{0: 0.312, 1: 0.312}","{0: 0.3128364849833148, 1: 0.31490666666666667}","{0: 0.9, 1: 0.9}","{0: 0.7007874015748031, 1: 0.7007874015748031}","{0: 0.684640522875817, 1: 0.684640522875817}"
